剧本ID,剧本文件名,剧目名称,剧目别名,全本出处,是否折子戏,时代背景,主题分类,选材来源,具体来源,剧本形态,主要行当,角色-行当映射,主角,地点,主要唱腔声腔,主要板式,唱法备注,剧情简介,备注
hanju_0101,三星归位.pdf,三星归位,,莲台山,否,周代,权斗；复仇；征战,戏曲传统；民间传说,,整理本,三生；八贴；四旦；七小；十杂；一末；五丑,周穆王（三生）；苏银庄（八贴）；贾翠屏（四旦）；王洪（七小）；孟喜（十杂）；刘荣（一末）；贾公道（五丑）；七煞张林（十杂）；雷天豹（七小）,苏银庄,镐京,二黄,二流；导板；摇板,有引子、诗、念白等,苏银庄得胜回朝，遭贾翠屏陷害被周穆王问斩。王洪、孟喜私劫法场，诛杀贾氏父女，并追杀穆王。苏银庄救驾后奉命征讨七煞张林，三人先后被无影箭射死。最终雷天豹斩张林，穆王封神。,文件夹: 商周 | 页数: 28
hanju_0102,临潼斗宝.pdf,临潼斗宝,,伍子胥,是,春秋,征战；权斗；求贤,历史演义；民间传说,,整理本,七小；十杂；五丑；二净；三生；六外；一末,伍员（七小）；秦穆公（十杂）；百里奚（五丑）；柳展雄（二净）；甘英（三生）；楚平王（六外）；伍奢（一末）；姬燕（十杂）；郑庄公（六外）；卫灵公（三生）；燕成公（二净）；齐景公（五丑）；吴姬光（七小）；卞庄（二净）；蒯聩（六外）,伍员,临潼；红雀山；秦邦,西皮,摇板；慢西皮；二流；一字板；垛子,有引子、诗、念白等,秦穆公假周天子诏设临潼斗宝大会，欲灭诸侯。买通柳展雄拦路劫宝，柳被伍员打败结拜，告知阴谋。会上伍员举鼎压服秦将，擒秦穆公，逼其联姻退宝，护送诸侯出关。,文件夹: 商周 | 页数: 34
hanju_0103,伍奢骂相.pdf,伍奢骂相,,伍子胥,是,春秋,权斗；孝义；复仇,历史演义；戏曲传统,汉剧传统剧本《伍子胥》系列之一折,整理本,一末；二净；五丑,伍奢（一末）；费无极（二净）；楚平王（五丑）,伍奢,郢都,西皮,摇板；一字板；流水；导板；慢西皮,有念白、数板,楚平王纳子妻为妾，伍奢上殿力谏，平王怒欲斩之。费无极进谗逼伍奢修书召二子进京同斩，伍奢被迫修书，但信中暗藏反意，寄望儿子起兵复仇。,文件夹: 商周 | 页数: 10
hanju_0104,伍申会.pdf,伍申会,长亭会；路会,伍子胥,是,春秋,复仇；孝义；权斗,历史演义；民间传说,,整理记录本,三生,伍员（三生）；申包胥（三生）,伍员,樊城；吴国,西皮,垛子；快板,,楚平王听信费无极谗言，杀害伍奢、伍尚父子，并派兵捉拿伍员。伍员突围后欲往吴国借兵报仇，路遇出使归来的故友申包胥。伍员哭诉冤仇，申包胥劝阻未果，最终放伍员逃奔吴国。,文件夹: 商周 | 页数: 6
hanju_0105,别母刺僚.pdf,别母刺僚,,伍子胥,是,春秋,孝义；复仇；权斗,历史演义；戏曲传统,,整理本,三生；十杂；七小；九夫；四旦；五丑；一末,伍员（三生）；专诸（十杂）；姬光（七小）；王僚（三生）；专母（九夫）；专妻（四旦）；专毅（七小）；伯嚭（三生）；被离（五丑）；孙武子（一末）；刘小二（五丑）,专诸,吴国,西皮；二黄,散板；摇板；二流；导板,,伍员逃至吴国，与专诸结拜。姬光欲刺王僚夺位，伍员荐专诸。专诸孝母不忍，母自缢断其念。姬光设宴，专诸鱼腹藏剑刺死王僚，自身亦被杀。姬光即位，伍员借兵伐楚复仇。,文件夹: 商周 | 页数: 18
hanju_0106,卧薪尝胆.pdf,卧薪尝胆,,吴越争雄,否,春秋时期,复仇；权斗；求贤,历史演义；民间传说,《史记·越王勾践世家》；宋·苏轼《拟孙权答曹操书》,整理本,一末；三生；四旦；五丑；六外；七小；八贴；九夫；十杂,范蠡（一末）；文种（三生）；勾践（三生）；越妃（四旦）；伯嚭（五丑）；伍员（六外）；西施（八贴）；郑旦（八贴）；夫差（十杂）,勾践,会稽；吴国,二黄；西皮,慢板；二流；倒板；摇板；散板,有导板、狗血等特殊唱法,吴王夫差为报父仇伐越，越王勾践不听劝谏出战大败，被俘后忍辱负重，贿赂伯嚭，尝粪疗疾，终得归国。回国后卧薪尝胆，励精图治，献西施、郑旦迷惑吴王，离间君臣，最终兴兵灭吴雪耻。,文件夹: 商周 | 页数: 48
hanju_0107,反昭关.pdf,反昭关,,伍子胥,是,春秋战国,复仇；权斗；孝义,历史演义；戏曲传统,,整理本,三生；二净；四旦；五丑；十杂,伍员（三生）；申包胥（三生）；费无极（二净）；无祥公主（四旦）；平王（五丑）；伍辛（十杂）；武霸（十杂）,伍员,昭关；樊城,西皮,慢板；垛子；摇板；散板；导板；快板,,楚平王闻伍员兴兵复仇，惊吓而死。无祥公主命申包胥挂帅，武霸为先锋抵御。申包胥念与伍员结拜之情，欲退兵，武霸不允，被伍辛射死。伍员围城，无祥公主坠城，费无极被斩，伍员鞭尸泄恨。,文件夹: 商周 | 页数: 16
hanju_0108,吵改嫁.pdf,吵改嫁,,蝴蝶梦,是,战国,孝义;讽世,戏曲传统;民间传说,庄周系列故事之一，出自《蝴蝶梦》（又名《南华堂》）,整理本,八贴;一末;五丑,贾氏（八贴）；公公（一末）；婆婆（五丑）；桂芳（八贴）,贾氏,,西皮,散板;一字板,,寡妇贾氏欲改嫁，借扇坟事由与公婆吵闹。她打公骂婆、撇子撒野，坚决改嫁而去。公婆与桂芳劝阻无效，最终贾氏不顾一切离去。,文件夹: 商周 | 页数: 12
hanju_0109,哭秦庭.pdf,哭秦庭,,伍子胥,是,春秋,孝义；求贤,历史演义；民间传说,,整理本,三生；七小；十杂,申包胥（三生）；秦哀公（三生）；子蒲（七小）；子虎（十杂）,申包胥,秦国；楚国,二黄；西皮；反调,摇板；垛子；一字板；慢二黄；二流；导板；回龙；反二黄；反二流；滚板；慢西皮,有哭头、拿眼、诗、念等,伍子胥借吴兵伐楚，申包胥为救楚国，赴秦求救。秦哀公不愿发兵，申包胥在秦庭痛哭七日七夜，水米不进，终感动秦王，发兵救楚。,文件夹: 商周 | 页数: 26
hanju_0110,大劈棺.pdf,大劈棺,,蝴蝶梦,是,战国,孝义；情爱；讽世,古典文学；民间传说,明·冯梦龙《警世通言》第二卷《庄子休鼓盆成大道》,整理本,六外；八贴；七小；五丑；四旦,庄周（六外）；田氏（八贴）；王孙（七小）；小二（五丑）；童男（五丑）；童女（四旦）,田氏,南华堂,二黄；平板,二流；摇板；导板；散板；反二流,有引子、诗、哭头等念白形式,庄周为试探妻子田氏贞节，假死并化作楚国王孙前来吊丧。田氏爱慕王孙，欲改嫁，为救王孙心痛之疾，劈棺取庄周脑髓。庄周突然复活，责问田氏，田氏羞愧自尽。,文件夹: 商周 | 页数: 14
